epoch,train_loss,train_cls_loss,train_perturbed_loss,train_grad_norm,val_mean_acc,val_mean_macro_f1,val_worst_acc,val_worst_macro_f1,val_photo_acc,val_photo_macro_f1,val_art_painting_acc,val_art_painting_macro_f1,val_cartoon_acc,val_cartoon_macro_f1
1,1.0786874233148036,1.0786874233148036,1.3462782639723558,4.84484132946047,0.8742928517088243,0.8616732238766192,0.824390243902439,0.8042340094263422,0.9221556886227545,0.9052053774747216,0.824390243902439,0.8042340094263422,0.8763326226012793,0.8755802847287936
2,0.2997118631998698,0.2997118631998698,0.5674757998213809,4.495651375534188,0.9086918471549282,0.907383335230708,0.8780487804878049,0.8735295937639977,0.9461077844311377,0.9370035122381456,0.8780487804878049,0.8735295937639977,0.9019189765458422,0.9116168996899808
3,0.17997298281416935,0.17997298281416935,0.39929463313176083,3.480975028796074,0.9228042121591753,0.9203687861721789,0.875609756097561,0.8742303120809405,0.9461077844311377,0.9345492267904786,0.875609756097561,0.8742303120809405,0.9466950959488273,0.9523268196451177
4,0.13088018466264772,0.13088018466264772,0.3223808810242221,2.9295056987012553,0.9370441497783464,0.9343198692531556,0.9097560975609756,0.9045115447469969,0.9610778443113772,0.9529281012069359,0.9097560975609756,0.9045115447469969,0.9402985074626866,0.9455199618055339
5,0.08835110297569862,0.08835110297569862,0.24845558557754907,2.290911291399573,0.9430563907288652,0.9414605967599234,0.9243902439024391,0.9233232005256734,0.9580838323353293,0.9491921411389564,0.9243902439024391,0.9233232005256734,0.9466950959488273,0.9518664486151405
6,0.0629573112879044,0.0629573112879044,0.20491308228582397,1.946349836822249,0.952393522798908,0.9526791767676324,0.9195121951219513,0.9199754314978771,0.9760479041916168,0.9715802741959093,0.9195121951219513,0.9199754314978771,0.9616204690831557,0.9664818246091107
7,0.05209503010806874,0.05209503010806874,0.18816493107722357,1.6816157153528979,0.959165303487362,0.9594096222748036,0.9317073170731708,0.9314339708653071,0.9820359281437125,0.9782967032967033,0.9317073170731708,0.9314339708653071,0.9637526652452025,0.9684981926624007
8,0.03354038132561578,0.03354038132561578,0.15015170105502137,1.3034487993289263,0.9455390223245849,0.9455649465494046,0.9121951219512195,0.9129753177961858,0.9670658682634731,0.9613313273122527,0.9121951219512195,0.9129753177961858,0.9573560767590619,0.9623881945397752
9,0.03072762081765721,0.03072762081765721,0.143718507554796,1.2160373263888888,0.9537518234112667,0.9529526682221073,0.9317073170731708,0.9293314898092087,0.9700598802395209,0.9647604040690541,0.9317073170731708,0.9293314898092087,0.9594882729211087,0.9647661107880596
10,0.025937094647660214,0.025937094647660214,0.13922412578876203,1.0897508278871193,0.9377548818323621,0.935831956042275,0.9097560975609756,0.9060458504008805,0.9610778443113772,0.9529414922964798,0.9097560975609756,0.9060458504008805,0.9424307036247335,0.9485085254294646
11,0.02042043514740773,0.02042043514740773,0.1250571063441089,0.9211336445604634,0.9386798611420355,0.9375346799295198,0.8975609756097561,0.8918491635234754,0.9760479041916168,0.9713361621308291,0.8975609756097561,0.8918491635234754,0.9424307036247335,0.9494187141342552
12,0.01728769041534163,0.01728769041534163,0.10857260940421341,0.7843582283737313,0.9419997178662592,0.9415224548178105,0.9024390243902439,0.9028049062503284,0.9640718562874252,0.9572848135701576,0.9024390243902439,0.9028049062503284,0.9594882729211087,0.9644776446329455
