epoch,train_loss,train_cls_loss,train_perturbed_loss,train_grad_norm,val_mean_acc,val_mean_macro_f1,val_worst_acc,val_worst_macro_f1,val_photo_acc,val_photo_macro_f1,val_art_painting_acc,val_art_painting_macro_f1,val_cartoon_acc,val_cartoon_macro_f1
1,1.941790067232572,1.941790067232572,1.9968780778412125,0.5662742679954594,0.2334856315763086,0.07677245855559835,0.1791044776119403,0.05629353945987213,0.2994011976047904,0.11766361717100635,0.22195121951219512,0.05629353945987213,0.1791044776119403,0.056360219035916585
2,1.9297653589493189,1.9297653589493189,1.9550079606537125,0.38348388671875,0.30455687512073465,0.15210371044941826,0.24307036247334754,0.11728764030019259,0.40718562874251496,0.1931901577147288,0.2634146341463415,0.11728764030019259,0.24307036247334754,0.14583333333333334
3,1.908093965970553,1.908093965970553,1.9539763621794872,0.6176749987479968,0.3266344216242745,0.15885389899528157,0.255863539445629,0.14495067773756296,0.41916167664670656,0.1812788398154252,0.3048780487804878,0.14495067773756296,0.255863539445629,0.15033217943285657
4,1.864338149372329,1.864338149372329,1.9361671382545407,0.9079800467205863,0.23935648387036834,0.08675268604310045,0.19616204690831557,0.05142857142857143,0.3023952095808383,0.12034417727487035,0.21951219512195122,0.05142857142857143,0.19616204690831557,0.08848530942585955
5,1.5720720861712072,1.5720720861712072,1.7373571151342146,1.6620772924178686,0.4811555732987715,0.3931044102669294,0.43414634146341463,0.3769299705077488,0.5508982035928144,0.4034422977071973,0.43414634146341463,0.3769299705077488,0.4584221748400853,0.39894096258584205
6,1.183700431106437,1.183700431106437,1.4574609740167601,2.5524688459869123,0.6242510039466546,0.5884999012003219,0.5487804878048781,0.5154734917488085,0.6736526946107785,0.5993024100575439,0.5487804878048781,0.5154734917488085,0.650319829424307,0.650723801794613
7,0.8865209074101896,0.8865209074101896,1.24771731123965,3.137866941272703,0.7561114496785201,0.737045920458497,0.6731707317073171,0.655695746947675,0.8083832335329342,0.7614894761859813,0.6731707317073171,0.655695746947675,0.7867803837953091,0.7939525382418348
8,0.5736743242312701,0.5736743242312701,0.9206566443810096,3.0633529271834936,0.8352004296570934,0.8247356537840648,0.7853658536585366,0.7700378325224316,0.8502994011976048,0.8240588846990201,0.7853658536585366,0.7700378325224316,0.8699360341151386,0.8801102441307428
9,0.36839258568918604,0.36839258568918604,0.7046201657026242,2.8582351554153314,0.8706071241987398,0.8629474565815496,0.8219512195121951,0.8114617201155606,0.8922155688622755,0.8701475149922885,0.8219512195121951,0.8114617201155606,0.8976545842217484,0.9072331346367998
10,0.2651536403558193,0.2651536403558193,0.5607108091696714,2.482734614967281,0.8910292369652498,0.8836898614091017,0.8268292682926829,0.8148695024158404,0.9251497005988024,0.9116315910289046,0.8268292682926829,0.8148695024158404,0.9211087420042644,0.9245684907825596
11,0.1874266567393246,0.1874266567393246,0.45373450385199654,2.159483167860243,0.9135594949785281,0.9090252833528579,0.8585365853658536,0.8507656884158858,0.9461077844311377,0.936879202766056,0.8585365853658536,0.8507656884158858,0.9360341151385928,0.9394309588766321
