rho,run_name,best_epoch,val_mean_acc,val_mean_macro_f1,val_worst_acc,val_worst_macro_f1,separability,delta_sharp
0.01,sam_rho0.01,4,0.9410361657464104,0.9397395600502337,0.9097560975609756,0.9090835897651424,0.893687707641196,0.17633210122585297
0.05,sam,7,0.959165303487362,0.9594096222748036,0.9317073170731708,0.9314339708653071,0.8770764119601329,0.10359145700931549
0.1,sam_rho0.1,17,0.9397848019183433,0.9384889035070202,0.9073170731707317,0.9034732405758754,0.8205980066445183,0.07750964909791946
